,Context before,token,Context after,Sense
686,"the oil . This weight being adjusted to exert a moment of 100 ft.-lbs . , and again a travelling",weight,"of 48 lbs. , is carried on the lever and worked by a screw with \ inch pitch , so",W
687,", and also the maximum amount of angular alteration observed , are directly proportional to the change in the atomic",weight,"or number . As regards the position of the ammonium salt , in 35 of the 38 compared angles the",M
688,"other distributions of negative electrons , in accordance with Moseley 's law ) , indicated by the rise in atomic",weight,"from to , and of the atomic number from 19 to 50- . Yet , while taking practically no note",M
689,"and even with iron , which it reduces into a condition far below either the metal or the oxygen ,",weight,"for weight . Again , its striking contrast with the nitrogen , which dilutes it , impresses the mind ,",M
690,and in the case of the dibromides and benzene it may be so large that the compound of higher molecular,weight,"has the smaller viscosity . ( 6 ) Certain liquids , which probably contain molecular complexes , do not obey",M
691,"an inner positively charged nucleus , surrounded by a number of negatively charged electrons approximately equal to half the atomic",weight,", and together equivalent electrically to the positive charge on the nucleus ; and VAN DEN BROEK and BOHR had",M
692,Length with the Thermal effect in pounds . permanent weight addition to the additional weight in in inches . permanent,weight,. _ degree Centigrade . 0 3-3 25 658 0 110 2@5 6@8 2 10.9 -242 4.5 11 2 14'6,W
693,"supports 7 feet . minutes J4 Dimensions of section . 24,379 sunk ... ... ... ... ... ... With the",weight,"24,379 CD=7 inches . lbs. the top ribs of the AB =4'5 inches . IB beam became twisted . OF",W
694,"and weight of the cube crushed being known , we can deduce the work l.equired to crush a unit in",weight,( 1 pound ) and in volume ( 1 cubic foot ) of each rock thus experimented on . 102,W
695,"3477 tons . Weight of backing to armour . 335 , , 165 , Weight of armour.1776 , , 1218",weight,"of engines , coals , and stores.2289 , , 1948 It follows from the above that the areas of the",W
696,"913 grains , at the mean temperature t = 59""21 ' F. , H0 = 30-27 "" ; therefore the",weight,"of 1 cubic inch of air = 03123 grain , and the weight of S , vacuo , = 28440*778",M
697,"of the vibrating mass from 8*629 to 2,939 only : whilst the 0 479 grain of air added to the",weight,"of the steel rod , would reduce the specific gravity of the vibrating mass from 7'687 to 1*024 . And",W
698,".0047 0028 .0027* .0030* .0027* Experiment IX.\#151 ; February 1 , 1902 . 33 ' . ! C. 1 1st",weight,", L*45 grammes . | Area , 43*5 sq . centims. 12.40 P.M. 1.0 "" 320 "" 33-0 33 *0",M
699,"A and B when plotted on curved paper , with ( for A ) percentage stretchings as ordinates , and",weight,"specific resistances as abscissae , and ( for B ) weights applied as ordinates , give practically straight lines .",W
700,"experiment , was 7442 grains , and when dry , its weight was 6883 grains ; and therefore , the",weight,of the contained water was 559 grains . The effect on the conductivity was much greater than in any other,M
701,therefore can only take off the Force of 4 Stone from the Push upwards at B ; and consequently the,weight,"W at A will preponde2 rate , rate , unless an additional Weight of 4 Stone be hanged at B.",W
702,", 1797 ; the barometer being at 29,72 inches , and thermometer 67g . TROUGHTON 'S weights . The standard",weight,"of t Troy pound , or } lb. grains , grains . 576ograins , markedl758 , keptatthe -= i1 5763",W/M
703,distant pier will be rs-8--8 . From this ( as in art . 21 ) the moment produced by the,weight,"of the distant part of the beam =s(2 , and the moment produced by 7rs the reaction of the distant",W
704,"7199*96 troy grains , the 100th part of the large Alexandrian talent , also divided into 16 ounces . This",weight,"appears to have survived in the old pounds of Namur ( 7201*1 grains ) , Altenburg ( 7202 grains )",M
705,"of double sulphates ) , and yet the relationships are remarkably similar . The same progression according to the atomic",weight,"or atomic number of the interchangeable alkali metals , potassium , rubidium , and caesium , which by their interchange",M
706,"and weighed . Putting B for the capacity for heat of the metal of the brake , iv for the",weight,"of water , and T for the temperature observed on the effluent thermometer , the total heat in the brake",W
707,"weight of tin ; two specimens of the same ingot 8,790 8,711 io . Allay of copper with 7 its",weight,"of tin ; two spep~~~~ cinens of the same ingot 8,766 8,530 ii . Allay of copper with 6 its",M
708,evaluation of the errors . Particulars of the Spheres used to contain the and other particulars . Sphere A.\mdash ;,weight,"grms. , . ]ighter than its counterpoise ; internal volume . at . This sphere appears to have increased permanently",W
709,"dryness in a heat of 160~ kept up for four hours ) weighed at a medium 12,66 gr. Of this",weight,"11,85 gr. were acid and alkali ; therefore the remainder , viz. 0,81 of gr. were water ; therefore 100",M
710,", and that of the thick strong muscles of the back close to the spine 1'065 . The loss of",weight,"which the electrical organ sustains by drying , is greater than I have observed in any other part of the",M
711,"platinum in air ( f=12-l , \#191 ; =755-4 ) . The Commissioners for the Restoration of the Standards of",weight,"and Measure , in their Report dated December 21 , 1841 , recommended that the avoirdupois pound of 7000 grains",W/M
712,"results show that , although the method is useful for controlling the results obtained , by determining the increase of",weight,"which cotton sustains by treatm-ent with nitric acid , it does not afford sufficiently definite and trustworthy data to render",M
713,"four platinum copies of the pound in succession , together with a platinum weight of about 1432'324 grains , the",weight,of which was found with great precision by a process to be described presently . 9 had never been weighed,M
714,the attraction of the case on the balls can in no position of the arm exceed of that of the,weight,". The computation is given in the Appendix . It has been shown , therefore , that the force required",W
715,"F were made , had been very badly prepared and contained cavities filled with some hygroscopic substance which rendered the",weight,"of B slightly variable , according to the greater or less amount of moisture present in the atmosphere . According",M
716,refer to the given number of discs . Leaf . Number of discs . 'Dry weight . Grain of dry,weight,. C02 found on combustion . Gain of co2 . Starch corresponding to gain of C02 . 1 12 (,M
717,-016506 Loss of buoyancy for sphere = difference =\#166 ; = -000084 gr. The increase in the apparent,weight,of the sphere is due to the joint effects of tv^o causes acting in the same direction\#151 ; ( 1,W
718,"30,75 -3 1,36 + 0,52 Mean + 1,89 Mean , rejecting greatest and least + o,6i Gallon No. 5 .",weight,of Temp. Weight of Correction Correction water the rror Date . Barom. of the tained bythe for for should have,M
719,"38,58 grains , the thermometer being then 67~,5 , the barometer 29,94 , and M. SAUSSURE'S hygrometer 84~ , the",weight,"of 116 cubic inches of atmospheric air being at the same time 34,87 grains ; hence a cubic foot of",M
720,3 . Column 4 . Weight applied in lbs. avoirdupois . Ratio of weight specific resistance with weight on to,weight,specific resistance before applying any weight . Ratio of weight specific resistance with weight on to weight specific resistance after,W
721,"average composition shown by the increase probably varies within narrower limits . Taking this smaller series of products , the",weight,"corresponding to 12 grammes of carbon varies between 24 and 30 grammes . This means an extreme error , if",M
722,"composed of A and B , and the other of A and C , may be regarded as a single",weight,( Sec. I. Def. 4 ) of which the totality is composed of A and B or C ; for,M
723,". The solution , when cold , grew turbid , and could not be wholly dissolved by 500 times its",weight,"of water . The same quantity of pure earth requires 173,45 of the mere marine acid for its solution ;",M
724,"comparison of the weight of the metal with the volume of hydrogen liberated by it , but they assume the",weight,"of the litre of hydrogen under normal temperature and pressure as '0896 grm. , which must be considered too low",M
725,"to 16'64 grains . Thus , 35'55 grains of tartaric acid had dissolved 16'64 grains of green oxide . The",weight,"of the salt was 58'8 grains . Consequently , its constituents were , Tartaric acid 3555 or lo'68 or 14",M
726,"this beautiful example of rather a complicated series of decompositions and new combinations , leaves no doubt that the atomic",weight,of green oxide of chromium *5 . is 5 . When we take bichromate of potash instead of neutral chromate,M
727,"palladium wire ... ... ... ... ... 008072 cub.centim . Volume of occluded hydrogen gas ... . 752 , ,",weight,of same ... ... ... ... ... ... ... . 0'00684 grn. Volume of hdrogenium ... ... ... ... .,M
728,lines of equal stress-difference are rigorously parallel with the mean surface . S8 . On the stresses due to the,weight,of The actual continents and seas on the earth 's surface have not got quite the regular wavy character of,W
729,"however , the merit of exhibiting an early example of that graphical or geometrical method of illustrating the distribution of",weight,"and buoyancy which has since been employed by many authors , which Professor RANKINE in particular has recently used with",W
730,"five feet , and it terminated in an obtuse angle , serving to indicate the arc of vibration . The",weight,of the whole pendulum was 15 lb. 9 oz. The perfect immobility of the point of suspension being of the,W
731,"gravities , as areometers , the comparison of the weights of equal measures of liquids , the different losses of",weight,"of the same solid , when weighed in different liquids , &c. In all which cases the weight of water",M
732,"weighed 8394 gr. and after remaining fourteen hours in a white heat I found it to weigh 7067,5 gr. The",weight,"of the crucible alone was 5384,75 gr. ; therefore the weight of the lime singly was 1682,75 gr. The marble",M
733,"of the cone and of 2250 feet further to its centre of gravity . Taking , as before , the",weight,"of the material at of a ton per cubic foot , we have for the lifting yolk 14,010,053,610 foot-tons ,",W
734,ascends nor descends . Now the forces which constituted the equilibrium of the vessel in its vertical position were its,weight,"and that of the fluid it displaced . Since the point C is not vertically displaced , the work of",W
735,"that they are entirely due to alterations in the stowage of the weights on board , the total amount of",weight,"carried being the same in both cases . The greatest bending-moment in fig. 12 is found at the station ,",W
736,"transferred to the Royal Society : That the copy of Length Standard , No. 5 , and the copy of",weight,"Standard , PC , No. 3 , be deposited in the Royal Observatory of Greenwich : That the copy of",N
737,expect the presence of a fixed alkali in it ; and on fiusing some of it with three times its,weight,"of boracic acid , and treating the mass with nitric acid and carbonate of ammonia , and afterwards distilling sulphuric",M
738,"to thus secure , with an assumed knowledge of the density of hydrogen , a direct comparison of the atomic",weight,of gold with that of the element ; most generally taken as the basis of the numerical constants in question,M
739,"first instance . It failed , however , to afford a sufficient protection to the metal underneath , and the",weight,"of the pound when the gilding was completed , was so very uncertain as to render its adjustment an extremely",M
740,"Hainan and Dr. Marshall Animal No. Weight , July 1 . Weight after 24 days . Weight when killed .",weight,of testes . Weight of thymus . Control Animals . grm. grm. grm. grm. grm. 1 133 187 200 0-320,M
741,"empty the bag completely ; and unless special care be taken , there will be an adverse pressure from the",weight,"of the sides of the bag , and from their cohesion . Moreover , it is impossible to measure the",W
742,"which divided by 4 , gives 19 p. weight , 19 grains , or 475 Troy grains , for the",weight,"of the Dutch ounce . This ounce contains 640 Dutch grains ; and As 640 to 179 , so are",M
743,", and therefore the weight resistance , since if includes the density , will not change so much . The",weight,"unit is not , however , quite constant , as the results of this investigation show , but the changes",W/M
744,George seemed to be liable to slightly over-estimate the extensions . [ 395 ] XIII . Revision of the Atomic,weight,"of Gold . By J. W. Mallet , F.R.S. , Professor of Chemistry in the University of Virginia . Received",M
745,by us are printed in heavy type . t The figures in these columns are calculated from the average body,weight,and the average blood volume of the group . VOL. CCil.\#151 ; B. 2 0 Table XVP . Group .,M
746,would have been necessary to reduce the entire cube to powder as the weight of the crushed part to the,weight,"of the entire ; so that the weight of those large uncrushed fragments having been ascertained subsequently , this correction",M
747,"four times the weight of the unit adopted for the purposes of physical measurement , the numbers which express the",weight,"of the chemical molecule being propor* p~ee LAURE T , Methode de Chimie , Ed. 1854 , p. 57 ,",M
748,"the inner surface of the bulb , this source of danger is avoided . . W. CROOKES ON THE AfOMIC",weight,"OF THALLIUM . being now included , and from the data thus obtained its true weight is calculated . There",M
749,". It is obvious , that provided we know the exact composition of an animal when it weighs any given",weight,", say 100 lbs. and again , when , after fattening , it has reached another weight , say 150",M
750,was calculatsd by the value of at low temperatures is not known with sufficient to enable us to attach any,weight,"to the resulting values of . For example , if we take millim. at 0intead of Yllillim . , we",MET
751,"gr. the saturated solution , thus formed , being evaporated to perfect dryness weighed 36,5 gr. ; but of this",weight,"only 28,38 were alkali and acid , therefore the remainder , that is , 8,12 gr. were water . Hence",M
752,". H.P. , and the coal to weigh as much as the engines and boilers , we have 2-4b(2d +b)s5",weight,"of engines and coal 2~1002 ? 0s Equating the two expressions for the displacement , we shall have 14 62d",M
753,". In homologous series , in general , the increase in specific viscosity is proportional to the increase in molecular",weight,"; the actual amount of increase is , however , dependent upon the constitution of . the molecule , and",M
754,"to the definition given of the weight A ( Sec. VII . Group 2 ( 1 ) ) , the",weight,A is the smallest weight of silver formed by the decomposition of the unit of any chemical substance . Hence,N
755,"a glacier , due to the water percolating through it , or suspended within it by capillarity , while additional",weight,"has been given to this notion by the advocacy of the author of the Viscous Theory , that I have",MET
756,"1N ) nearly : or , as if it had "" lost the weight wX - . But , the",weight,which it has really lost from the ' displacement of a quantity of air is wX T- . Consequently the,W
757,"restored , The details of this process are as follows:-A portion of graphite is intimately mixed with three times its",weight,"of chlorate of potash , and the mixture placed in a retort . A sufficient quantity of the strongest fuming",M
758,j \#151 ; 7-26 \#151 ; 26 -08 In Table VI the rabbits are arranged in five groups according to,weight,", and the aortic constant and aortic percentage are calculated from the average figures of these groups . In this",M
759,"fattened animal at the time it was put upon fattening food , or when it had reached any given previous",weight,". In the case of the store and fat Pigs which were analysed , the two animals selected for experiment",M
760,", the approximation to accuracy being sufficient for all practical purposes . We have previously seen that for curves of",weight,", buoyancy , loads , and shearing-forces the graphical method does not cause any important error even in extreme cases",W
761,"with that of tailors , caused the weavers to consume more bread , milk , and water ; to lose",weight,"; to emit more urine , urea , chloride of sodium , and faeces , and consequently more nitrogen ;",M
762,. Analysis showed the liquid to possess the composition of a-amyl nitrite ( weight of nitrite taken 0-178 grm. ;,weight,"of nitrite calculated from the amount of iodine liberated 0-179 grm. ) . / 3-Amyl Nitrite , C ? H5CH(CH3)CH3N02.\#151",M
763,of a grain . Therefore the real quantity of moisture condensed in the pearl-ashes is 11/ 4 grain . The,weight,of 192 ounce measures of inflammable air deprived of its moisture appears from the former experiments to be 101/ 2,M
764,the total weight ; . Another double purchased crane indicated ~th . 2 . A double purchased crane having a,weight,of 70571bs . suspended to it indicated 7.62 for the friction . Another double purchased crane indicated 4th . In,W
765,"keep it in AEquilibrio must be =6 ~ , and a very little more must make the Power raise the",weight,", if there was no Friction ; but here no less than 20 Ounces are required , though the Machine",W
766,"It was soon found that half a grain was too small to give satisfactory results , and observations with that",weight,"were discontinued . I have not therefore taken the observationls made with it into account , except at Hobarton ,",W
767,"1845 . TROUGETON and SIMMS , London , "" and One other of the said Copies of the Standard of",weight,"marked No. 2 . P.C. 1844 , 1 lb. , have been delivered to the Royal Society of London ;",W/M
768,which the small circle represents the position of the coin ; the large circle is the part which supports the,weight,", and nna the part by which it is connected to the upper frame . To avoid confusion , neither",W
769,the superficial layers halving the height of the actual continents and the depth of the actual seas . TO THE,weight,OF fNENTS . resnlts of the preceding sections are directly available for finding the state of stress due to continents,W
770,"in close vessels , which are phosphoric acid and a peculiar compound of phosphorus and hydrogen . Ten parts in",weight,"of the crystalline acid I found produced about 8.5 parts of solid phosphoric acid , and the elastic product must",M
771,will be smaller than that obtained from Lefevre-Gineau 's investigations . From the above-mentioned determinations we must conclude that the,weight,"of a cubic decimetre of water in vacuo at 4 ' C. is not greater than 999 96 grams ,",M
772,"instance the vertical reaction R of a support at distance h. If ER is negative , it will represent a",weight,"hanging on the beam . Conceive a line to pass in any curved or crooked direction , from the lower",W
773,"constituted liquids , the same alteration in molecular brings about approximately the same alteration in temperature . The hest molecular",weight,"has also the highest temperature . The complex methyl alcohol and the acids\mdash ; do not obey these rules ,",M
774,bow with a force of about four pounds ; but as this wire would suffer a deflexion by its own,weight,"amounting to about four-thousandths of an inch , a wire of two-hundredths of an inch diameter was placed at each",W
775,"of the weight , and will again bring the index ray to zero . It was found that when the",weight,"of the yfoy of a grain was placed on the pith surface , the torsion-handle had to be turned 27",W
776,"4,8 3,8 [ 3,6 ~~~-4,8 -3,8 -2,2 -0,31 2,2 -3,6 I,4 Added two-tenths of a grain to the 6 lb.",weight,"No. z. + 1,5 -0 , ; -2,0 + IZ 1,5 2,7 + 1,7 + 1,2 -0,5 -3,8 i,8 +20",M
777,"the green oxide , and the brown oxide , I was induced , from analogy , to consider the atomic",weight,"of the former to be 4-5 , and that of the latter 5'5 ; and to make the atom of",M
778,". =33*8626 =W ... by equation 6 , U( ) ={(1'75l-105)-(275--2 } x338626536.2 ' 15'2-3'9 Also vertical descent of deflecting",weight,", in feet= 12-3deflecting weight Q in lbs.=-5485 ; . . by experiment U(O)= { 152-3l 9 585s =5165 .",W
779,a Fluid ; so long as it is detained in it . it will add to the Fluid as much,weight,as the Weight of an equal Bulk of that Fluid : wheresore a Body does not lose all that Weight,W
780,"following manner:\mdash ; The balance being brought into equilibrium and the temperature and barometrical pressure calefully noted , the rain",weight,"was placed in the left pan , and in the right the 600 , the 300 , and the grain",W
781,"placed near ' it , might be affected with equal readiness by any change of temperature . A flat circular",weight,"nicely turned , and pierced in the direction of its diameter to receive the bar , was slid upon it",N
782,"than it , and which has in some degree the property of extinguishing flame , like fixed air . The",weight,"of the inflammable air discharged from the gravy appears to be about one grain , which is but a small",M
783,"seem , that alkalies have a certain determinate capacity of uniting to acids , that is , to a given",weight,of acids ; and that this capacity is equally satiated by that given weight of any pure acid indiseriminately .,M
784,"and an half being balanced by half an Hundred , the Addition of 28 Pounds made the Power raise the",weight,". N. B. The Sheevers were five Inches Diameter , the Pins half an Inch , and the Rope three",W
785,the truth of this interpretation of the analytical formula represented by the term vis viva . Let a body whose,weight,"is W be conceived to descend freely by gravity through a height IHI , and to acquire a velocity V.",W
786,"divided by the number of hours , which is not stated Considering , nevertheless , that one of their dry",weight,"experiments]* lasted only 3^ hours , we may perhaps calculate the error per hour on the basis of a 3-hour",M
787,"that the symmetry is perfect , i.e. that the two halves of every leaf used possess appreciably the same dry",weight,"per unit area , and ( 2 ) that no change takes place in the experimental half leaf to alter",M
788,"*2 25 T Observations.\#151 ; In Table I are given the figures and calculations for 16 guinea-pigs , ranging in",weight,"from 70 to 640 grm. ( i.e. ' increasing more Messrs. Dreyer , Bay , and Walker . [ Sept.",M
789,. 1-9223 3-5123 196*709 Lowest value V. 20132 3-6804 196-817 12-6084 23-0506 196-823 PROFESSOR J. W. MALLET OH THE ATOMIC,weight,OF GOLD . Sixth Series ( H : Au : : 1 : Experiment . Hydrogen . Gold . Atomic,M
790,nearly to the theoretical result . The fused residuary chromate and carbonate of potash amounted to 0 5425 of the,weight,"of the crystals , which is so near the theoretical result , namely , 0,5433 , that we may safely",M
791,"as hydrometer maker for Revenue purposes , had been accustomed to nice operations in weighing , to construct those of",weight,"and measure . Brass being peculiarly liable to decomposition in the atmosphere of London , I directed Mr. BATE to",W/M
792,"termination of the period , during which the work is estimated , of that moving element of the machine whose",weight,"is w. But one-half the aggregate difference of the vires vivae of the moving elements , represents the work accumulated",W
793,"by metacarpi , &c. for the upper , and by phalanges for the lower . Weight Weight of os iWeight",weight,Weight Weight Weight of seht Weight ofulne Weight Weight Weight Weight Species . Sex . of of lingue of of,M
794,3.27 103 111 5 3.01 12[ _______.__________________________________ Experiments on the Friction of different Woods two square inches surface . Weight,weight,"reWet pr eight Weight reWet per on surquired to Proportion . sre inch p Average , on surquired to Proportion",W
795,"symbol in the equation of condition , the work of the force , which must come in aid of its",weight,"to effect the descent of the glacier , is ascertained . The imaginary case to which these computations apply ,",W
796,"by the formula B = W*/ k , where B is the blood volume in cubic centimetres , W the",weight,"of the animal in grammes , and k a constant calculated from the experiments , and varying for each species",M
797,"ship is supported on single point , vertically below her centre of gravity , the maximum shearing-force will equal the",weight,"of either the fore or the after body , and the maximum bending- moment will equal the product of the",W
798,"the chief materials for the following _Table . The capacity is given in cubic centimetres first , then the estimated",weight,"of the brain as deduced from our method , next the actual weight of the brain , without membranes ,",M
799,"have the same quantity of mechanic force at command , whether we have one pound of gunpowder , or the",weight,"which it would raise to the height of 30 feet , actually raised to that height , and ready to",W
800,"individual blood constants show no periodical deviation from the average k , and that the ratio of blood to body",weight,"is more or less DETERMINED BY EXPERIMENTS UPON RABBITS , GUINEA-PIGS , AND MICE . 145 regularly decreasing as the",M
801,"... ... ... . 1'3663 , , Cubic expansion on 10 ... ... ... ... ... ... 4154 , ,",weight,of palladium wire ... ... ... ... . 1'0667 grin . Volume of palladium wire ... ... ... ... ...,M
802,as well as the blood constant k{\#151 ; W*/ B ) and the blood volume expressed as percentage of body,weight,". Table III . No. Sex . Body weight . ( "" Rohgewicht . "" ) Haemoglobin per cent. (",M
803,"to increase the stability of fixing . The mnean weight of these was 36*8 lbs. , and the mean breaking",weight,"29488 lbs. But we have seen above , that a uniform hollow pillar 2-02 inches diameter , and 36lbs .",W
804,of C02 . Ash found ' on com-l bustion . Gain of ash . | Calculated | gain of dry,weight,. 1 ( \#171 ; ) 26 -9 ( b ) 26-8 0-378 0*417 0*039 0-633 0-694 0 *061 0-037,M
805,"that iode is an undecompounded body , resembling metals in specific gravity , lustre , colour , and high elementary",weight,"; in chemical agency and electro-chemical habitudes resembling chlorine , fluorine , and oxygen , having a stronger affinity than",M
806,"of silver in 10,000 , it follows that the absolute quantity of gold in a cornette is less than the",weight,"of the cornette as indicated by the balance , by 1 part in 1000 . This does not disprove the",M
807,"metre . The only measurement to be taken then is the length , if the specific resistance be given in",weight,"units , and the measurement of the length can be made with the greatest accuracy . Even if the weight",W/M
808,"at g , softens the glass , and the air , endeavouring to force Mr. W. Crookes on the Atomic",weight,"of Thallium . [ June 20 , its way into the bulbs , forms a capillary orifice . By heating",M
809,". A second experiment with the same description of disks , selected so as to present no great difference in",weight,"and compactness , the disks being placed , as before , 0*5 inch ( *013 m. ) apart , in",W
810,"section . "" The term "" specific resistance "" was introduced by Weber , but by it he meant the",weight,"unit , and always used it unless when otherwise stated . Lord Kelvin points this out in his paper on",W/M
811,the quantity of the charge is the same . And if care is taken in proportioning the charge to the,weight,"of the bullet , to come as near as possible to the medium proportion that obtains in practice , the",W
812,"of the surface , the average percentage deviation is 2T6 , whilst if it be calculated as percentage of body",weight,"it is 8'43 per cent. , or practically four times as great . At the same time it is seen",M
813,"application to different forms of structure . In that rule , moreover , there is nothing said about the dead",weight,of the bridge ; and we are not informed whether the breakingweight is to be so many times the applied,W
814,wire as might be found requisite to make up the standard weight . This button served also to lift the,weight,by means of a strong wooden fork . III The Imperial Troy pound is in the custody of G. WHITTAM,W
815,half an ounce . The average of the weights at night and on the following morning were entered as the,weight,"for that day . The following Table XXIV . , and Plate XXXIV . fig. 4 , represent the weight",M
816,"that the deductions made by the author , such as the important one regarding the observed progression with the atomic",weight,"of the alkali metal , are unquestionably valid , since the angular differences in question between the salts under comparison",M
817,to pillars sufficiently long not to have been crushed ( Art . 6 . 60 . ) with the breaking,weight,", we have as below : Lengths of which the strengths : D Lengths of which tb srengths Description of",W
818,broke . Effects of Mechanical Stress on Electrical . 287 56 lbs. attached to the other end . While this,weight,"was on , 300 complete turns were made in the wire , the density being measured after 200 turns ,",W
819,; True weights in vacuo . Determina- tion . A. B. C. D. fE . F. G. H. I. K.,weight,of thallium . taken . grs. 497-972995 293-193507 288*562777 324-963740 183-790232 190*842532 195-544324 201-856345 295*683523 299-203036 Weight of nitrate Weight,M
820,"paper . We have divided our experiments into Series I and II , and we have given reasons why more",weight,should be attached to tlJe latter series . We here give a summary of the of deduced from Series II,MET
821,"A ) , and as the volume of the weights = 2'298 cubic inches , the correction of the observed",weight,", in order to obtain the real weight , will be \#151 ; _ 1-0343 A ; or if we",M
822,"For First Series , probable error =+ 10'4 , weight 899 For Second Series , probable error =+3 3 ,",weight,"loooo 82 For Third Series , probable error =+ 1ll'0 , weight =1o0 114 For Fourth Series , probable error",MET
823,"and faint indications of 5523*5 , in the same state but much fainter , are visible . The composition by",weight,"of these compounds is as follows\#151 ; PbF2 , Pb to F . . . . 1*0 to 0*18 PbCl2",M
824,160 269 0-600 190 257 0-580 Average 164 266 0-533 Experiment 14 . | Initial weight . Final weight .,weight,of testes . Initial weight . Final weight . Weight of testes . Control Animals . Operated Animals . grm.,M
825,( Sec. I. Def. 5 ) ; and let the symbol -be the symbol of that operation by which a,weight,"is removed from a group of weights . These operations are expressed in language by the words "" and """,W/M
826,"A. , Hence if a ' be the symbol of the weight A , and v the symbol Vof no",weight,", Now the symbol I regarded as a numerical symbol , possesses the property given in the equation xi =",W/M
827,to detached leaves of Helianthus annum in the open air first claimed attention . Measure-ments of the gain of dry,weight,by these leaves on bright sunny days ( described in Section II ) have clearly proved that Sachs ' original,M
828,"made Use of this Contrivance is Mr. Ralph Allen , Post-master of Bath , at his StoneQuarry , where the",weight,"raised is 4 or 5 , and sometimes 6 or 7 Ton . I need not say that the Power",W
829,"intelligible . * In the diagram the atomic percentage of tin in the alloy , and also the percentage by",weight,"of tin , are stated at the top . The atomic percentage , being the horizontal ordinate in the diagram",M
830,preceding ) weight of thallium nitrate in air . . W. CROOKES ON THE ATOMIC WEIGHT OF THAILIUM . The,weight,"of air displaced \amp ; c. is taken separately for each weight in all cases , but is omitted in",M
831,"Displacement = 15447 tons . Indicated -horse-power =7550 H.P. Nominal horse-power =1078 , Weight of hull = 7100 tons .",weight,"of armour and backing=5190 Weight of engines and coals =2157 Putting the results into round numbers , writing them down",W
832,equal to it as CD . The Pressure of the Fluid upon the Base AB will be equal to the,weight,"of CB , or of a Cylinder or Prism of the same Fluid , made up of the Area of",W
833,"the ordinary gun-cotton having lost 0 058 per cent. At the expiration of another month 's uninterrupted heating , the",weight,"of the soluble gun-cotton was still found to have sustained no change , while the ordinary guncotton had only sustained",M
834,. The latter was more particularly employed in experiments instituted for the purpose of accurately ascertaining the maximum increase of,weight,"which cotton-wool will sustain by treatment with mixed nitric and sulphuric acids , while the products of ordinary manufacture have",M
835,"anvil , adjusted in a level position , and were submitted in that position to the blow of a falling",weight,"( of 50 lb. ) , the striking surface of which was properly levelled and maintained in its adjusted position",W
836,"grain } and the three wires = o,68z8 grain ; and their specific gravity being 8,7 , their loss of",weight,", by sinking 1 inch in water , woul4 be 0,0785 grain . This correction it may be lnecessary hereafter",W
837,", 2 '04 . ) Difference between blood volume calculated and observed . Blood volume calculated as percentage of body",weight,". ( Average for the groups , 4-41 . ) Difference between blood volume calculated and observed . grammes .",M
838,"is of greater importance than the attainment of permanence in this part . If , after disturbance , the lower",weight,"does not return to the same position , relatively to the upper , with absolute exactness , I see no",N
839,"Inches . 0Q Inches . Contents ( true to )in inches 124 , 1 8917 6i 74,9482t6 62 grains .",weight,"in air , true to o , oz grain 32084,82 62 2i560,05 6z 29,00 Weight in water , true to",W
840,"307 The results being so remarkably close to one another , we are permitted to take the mean",weight,"in air , 25560'7884 A , H0 = 29*98 = 761*48 mm. ; h ( pressure of aqueous vapour ,",W
841,"as its support , is flattened so as to form a delicate spring . On the wire , a small",weight,"slides , by means of which it may be made to vibrate in the same time as the pendulum to",N
842,or practically four times as great . At the same time it is seen that the greater the range of,weight,of the animals experimented upon the more misleading and erroneous it is to express the blood volume as a given,M
843,"is worthy of remark , that the atomic weight 44 , which in the system of carbon corresponds to the",weight,"28 of silicon , would , assumed as the atomic weight of diamond , render its specific heat conformable to",M
844,the cloud along ? To this we believe theie is only one answei The motive power is supplied by the,weight,of the mass . It is in a condition comparable to that of a heavy and mobile fluid which has,W
845,"... . . 0-3125 0-0325 1024'4 Deflecting bar , N. 13 ... ... ... ... . 0-3257 0-0354 1092-4 Cylindrical",weight,", No. 5 ... ... ... ... 0-1243 0-0342 417-9 Cylindrical weight , No. 6 ... ... ... ... .",N
846,"is 0-876 . When analysed it afforded the following result ( weight of nitrite taken , 0 1513 grm. ;",weight,"of nitrite calculated from the amount of iodine liberated , 0-1512 grm. ) . Bertoni ( 'Gazz . , '",M
847,". Thus , the bones of the Pigs yielded ash amounting to 2 per cent. and under , of the",weight,of the animal ; those of the Sheep to from 2 to 2l1 per cent. ; and those of the,M
848,Experiment 14 . | Initial weight . Final weight . Weight of testes . Initial weight . Final weight .,weight,of testes . Control Animals . Operated Animals . grm. grm. grm. grm. grm. grm. 137 261 0-470 210 258,M
849,"semi-castrated animals ; clear circles , control animals . Vertical , weight of thymus in grammes ; horizontal , body",weight,"in grammes . ) , Relation between the Thymus and the Generative Organs . 81 Experiment 10 : Effects of",M
850,"terms the "" theoretical density "" by assuming that water-vapour behaves as a perfect gas , having the same molecular",weight,". I have shown that if we take the most recent determinations of the atomic weight of oxygen , *",M
851,"while not known to be in any way vitiated by apparent defects , they lead to values for the atomic",weight,in question close to those obtained by other methods and other experimenters . It is possible that this near approach,M
852,", as here , the Power , which in the common Way wou 'd be but 1/ 5 of the",weight,", must be 1/ 3 Part of it : So if the Angle of the Plane 's Inclination was but",W
853,"on the other hand , risk of imperfect drying , which would give too low a value for the atomic",weight,in question . On the whole it seems probable that the tendency of most of the constant errors to be,M
